product_name,description,base_price,category,product_sku,variant_color,variant_storage,price_modifier,variant_sku,quantity,low_stock_threshold
Tablet 219,Best value for money,528.61,Accessories,SKU-0219,Silver,16GB,156.52,SKU-0219-SIL-16GB,65,11
Smartwatch 220,Best value for money,355.04,Electronics,SKU-0220,Silver,32GB,4.13,SKU-0220-SIL-32GB,86,13
Camera 221,Latest model with advanced features,1000.34,Gadgets,SKU-0221,Gold,16GB,9.78,SKU-0221-GOL-16GB,88,7
Camera 222,Compact and lightweight design,1764.71,Electronics,SKU-0222,Red,256GB,59.69,SKU-0222-RED-256GB,28,6
Tablet 223,High quality and durable product,85.37,Accessories,SKU-0223,Green,32GB,50.98,SKU-0223-GRE-32GB,7,10
Smartwatch 224,Best value for money,1362.72,Electronics,SKU-0224,Blue,128GB,148.62,SKU-0224-BLU-128GB,29,6
Headphones 225,Enhanced performance and battery life,1480.0,Accessories,SKU-0225,Red,512GB,119.36,SKU-0225-RED-512GB,79,8
Monitor 226,Best value for money,1781.16,Electronics,SKU-0226,Green,512GB,96.84,SKU-0226-GRE-512GB,43,18
Headphones 227,Latest model with advanced features,617.07,Electronics,SKU-0227,Green,128GB,21.3,SKU-0227-GRE-128GB,81,17
Smartwatch 228,High quality and durable product,1914.06,Gadgets,SKU-0228,Blue,16GB,6.24,SKU-0228-BLU-16GB,60,16
Smartphone 229,Compact and lightweight design,1284.27,Accessories,SKU-0229,Gold,256GB,56.89,SKU-0229-GOL-256GB,61,17
Camera 230,Enhanced performance and battery life,534.66,Gadgets,SKU-0230,Blue,256GB,20.4,SKU-0230-BLU-256GB,73,7
Headphones 231,Enhanced performance and battery life,1557.49,Accessories,SKU-0231,Silver,16GB,129.66,SKU-0231-SIL-16GB,100,12
Headphones 232,Best value for money,1385.82,Gadgets,SKU-0232,Gold,128GB,94.81,SKU-0232-GOL-128GB,79,11
Laptop 233,Latest model with advanced features,1631.22,Accessories,SKU-0233,Gold,64GB,71.69,SKU-0233-GOL-64GB,8,8
Smartphone 234,High quality and durable product,960.26,Accessories,SKU-0234,White,512GB,191.9,SKU-0234-WHI-512GB,47,18
Smartphone 235,Best value for money,1407.15,Electronics,SKU-0235,Green,512GB,2.43,SKU-0235-GRE-512GB,43,15
Laptop 236,Compact and lightweight design,1475.82,Accessories,SKU-0236,Green,128GB,1.85,SKU-0236-GRE-128GB,8,11
Speaker 237,Compact and lightweight design,1479.68,Electronics,SKU-0237,Gold,256GB,186.0,SKU-0237-GOL-256GB,11,10
Speaker 238,Latest model with advanced features,1365.84,Accessories,SKU-0238,Red,512GB,139.57,SKU-0238-RED-512GB,6,13
Camera 239,High quality and durable product,1390.03,Accessories,SKU-0239,Blue,512GB,77.86,SKU-0239-BLU-512GB,6,8
Monitor 240,High quality and durable product,943.06,Gadgets,SKU-0240,Green,16GB,72.99,SKU-0240-GRE-16GB,78,19
Laptop 241,Latest model with advanced features,333.53,Gadgets,SKU-0241,Silver,16GB,158.21,SKU-0241-SIL-16GB,70,6
Camera 242,High quality and durable product,1798.4,Gadgets,SKU-0242,Blue,128GB,129.46,SKU-0242-BLU-128GB,81,14
Smartphone 243,Best value for money,72.9,Accessories,SKU-0243,Black,128GB,165.42,SKU-0243-BLA-128GB,36,8
Camera 244,High quality and durable product,818.05,Electronics,SKU-0244,Red,128GB,117.55,SKU-0244-RED-128GB,8,17
Camera 245,Latest model with advanced features,68.61,Electronics,SKU-0245,Silver,256GB,110.91,SKU-0245-SIL-256GB,95,8
Smartphone 246,Enhanced performance and battery life,1663.66,Accessories,SKU-0246,Black,16GB,2.17,SKU-0246-BLA-16GB,75,15
Laptop 247,Latest model with advanced features,325.26,Electronics,SKU-0247,Gold,128GB,21.69,SKU-0247-GOL-128GB,74,14
Monitor 248,Compact and lightweight design,1499.54,Electronics,SKU-0248,Green,64GB,177.66,SKU-0248-GRE-64GB,60,17
Smartphone 249,High quality and durable product,687.22,Accessories,SKU-0249,Blue,128GB,113.72,SKU-0249-BLU-128GB,75,8
Laptop 250,Best value for money,818.31,Gadgets,SKU-0250,Gold,512GB,3.66,SKU-0250-GOL-512GB,33,17
Speaker 251,Enhanced performance and battery life,873.68,Electronics,SKU-0251,Blue,64GB,122.03,SKU-0251-BLU-64GB,64,15
Tablet 252,Compact and lightweight design,1983.53,Accessories,SKU-0252,Blue,16GB,30.76,SKU-0252-BLU-16GB,25,19
Smartphone 253,High quality and durable product,1856.72,Electronics,SKU-0253,Gold,512GB,145.79,SKU-0253-GOL-512GB,46,14
Speaker 254,Latest model with advanced features,743.33,Electronics,SKU-0254,Blue,256GB,51.72,SKU-0254-BLU-256GB,27,6
Smartwatch 255,High quality and durable product,677.69,Accessories,SKU-0255,White,32GB,19.42,SKU-0255-WHI-32GB,38,11
Monitor 256,Latest model with advanced features,1636.02,Accessories,SKU-0256,Red,64GB,19.34,SKU-0256-RED-64GB,10,16
Headphones 257,Enhanced performance and battery life,1776.36,Accessories,SKU-0257,Silver,16GB,56.83,SKU-0257-SIL-16GB,31,20
Tablet 258,Enhanced performance and battery life,521.83,Accessories,SKU-0258,White,64GB,20.42,SKU-0258-WHI-64GB,60,12
Camera 259,Enhanced performance and battery life,1824.32,Gadgets,SKU-0259,Green,16GB,19.46,SKU-0259-GRE-16GB,84,7
Headphones 260,Best value for money,1387.6,Gadgets,SKU-0260,White,32GB,141.83,SKU-0260-WHI-32GB,62,6
Tablet 261,Enhanced performance and battery life,561.54,Gadgets,SKU-0261,Black,512GB,3.19,SKU-0261-BLA-512GB,64,19
Smartphone 262,Enhanced performance and battery life,852.62,Electronics,SKU-0262,Black,512GB,156.32,SKU-0262-BLA-512GB,90,15
Monitor 263,High quality and durable product,1371.3,Electronics,SKU-0263,Red,16GB,29.5,SKU-0263-RED-16GB,78,7
Laptop 264,Enhanced performance and battery life,1321.43,Accessories,SKU-0264,Black,128GB,17.86,SKU-0264-BLA-128GB,13,20
Smartphone 265,Latest model with advanced features,913.44,Accessories,SKU-0265,Blue,64GB,150.24,SKU-0265-BLU-64GB,72,18
Laptop 266,Best value for money,1557.97,Gadgets,SKU-0266,Black,64GB,12.05,SKU-0266-BLA-64GB,71,20
Tablet 267,Compact and lightweight design,1643.43,Electronics,SKU-0267,Red,32GB,41.76,SKU-0267-RED-32GB,73,12
Monitor 268,Enhanced performance and battery life,1232.63,Gadgets,SKU-0268,Green,32GB,178.51,SKU-0268-GRE-32GB,60,8
Laptop 269,Latest model with advanced features,1086.58,Gadgets,SKU-0269,Silver,128GB,63.25,SKU-0269-SIL-128GB,55,5
Camera 270,Best value for money,892.6,Accessories,SKU-0270,White,512GB,73.25,SKU-0270-WHI-512GB,74,5
Tablet 271,High quality and durable product,912.54,Electronics,SKU-0271,Red,16GB,147.96,SKU-0271-RED-16GB,22,15
Headphones 272,Enhanced performance and battery life,1490.93,Accessories,SKU-0272,Silver,16GB,174.12,SKU-0272-SIL-16GB,15,6
Speaker 273,Compact and lightweight design,1965.62,Gadgets,SKU-0273,Red,256GB,26.26,SKU-0273-RED-256GB,92,16
Smartphone 274,Enhanced performance and battery life,1679.94,Gadgets,SKU-0274,Silver,64GB,124.41,SKU-0274-SIL-64GB,17,16
Smartwatch 275,High quality and durable product,1896.91,Electronics,SKU-0275,Green,128GB,88.05,SKU-0275-GRE-128GB,98,20
Laptop 276,Best value for money,464.04,Gadgets,SKU-0276,Gold,32GB,169.27,SKU-0276-GOL-32GB,36,10
Laptop 277,Compact and lightweight design,92.29,Gadgets,SKU-0277,White,32GB,184.16,SKU-0277-WHI-32GB,53,20
Laptop 278,Best value for money,357.08,Electronics,SKU-0278,Gold,16GB,177.39,SKU-0278-GOL-16GB,50,18
Smartphone 279,Best value for money,1301.54,Accessories,SKU-0279,Silver,64GB,27.51,SKU-0279-SIL-64GB,63,19
Tablet 280,Latest model with advanced features,1087.09,Gadgets,SKU-0280,White,512GB,60.2,SKU-0280-WHI-512GB,74,7
Headphones 281,Compact and lightweight design,1743.7,Gadgets,SKU-0281,Red,128GB,117.87,SKU-0281-RED-128GB,72,9
Tablet 282,Enhanced performance and battery life,722.85,Gadgets,SKU-0282,Green,64GB,199.52,SKU-0282-GRE-64GB,17,20
Tablet 283,High quality and durable product,1200.86,Electronics,SKU-0283,Red,32GB,125.97,SKU-0283-RED-32GB,39,8
Camera 284,Enhanced performance and battery life,72.93,Gadgets,SKU-0284,Black,16GB,90.3,SKU-0284-BLA-16GB,73,9
Headphones 285,Best value for money,575.39,Gadgets,SKU-0285,Silver,256GB,89.27,SKU-0285-SIL-256GB,94,12
Smartwatch 286,Latest model with advanced features,169.95,Accessories,SKU-0286,Green,256GB,105.62,SKU-0286-GRE-256GB,53,5
Monitor 287,Compact and lightweight design,312.67,Electronics,SKU-0287,Blue,16GB,46.34,SKU-0287-BLU-16GB,85,7
Speaker 288,Best value for money,1975.37,Electronics,SKU-0288,Blue,64GB,80.86,SKU-0288-BLU-64GB,9,15
Tablet 289,Compact and lightweight design,1311.45,Accessories,SKU-0289,Silver,16GB,102.61,SKU-0289-SIL-16GB,97,10
Speaker 290,Enhanced performance and battery life,1872.94,Electronics,SKU-0290,Red,128GB,98.2,SKU-0290-RED-128GB,89,17
Monitor 291,High quality and durable product,465.03,Gadgets,SKU-0291,Blue,64GB,183.83,SKU-0291-BLU-64GB,47,5
Monitor 292,Enhanced performance and battery life,1554.57,Electronics,SKU-0292,Blue,64GB,73.08,SKU-0292-BLU-64GB,64,14
Headphones 293,Best value for money,499.61,Accessories,SKU-0293,Silver,512GB,125.42,SKU-0293-SIL-512GB,98,8
Headphones 294,Enhanced performance and battery life,262.39,Gadgets,SKU-0294,Green,512GB,119.77,SKU-0294-GRE-512GB,87,13
Monitor 295,High quality and durable product,1499.83,Accessories,SKU-0295,Silver,512GB,197.11,SKU-0295-SIL-512GB,12,14
Camera 296,Best value for money,1687.42,Electronics,SKU-0296,Black,16GB,150.68,SKU-0296-BLA-16GB,64,17
Monitor 297,High quality and durable product,274.44,Accessories,SKU-0297,Red,256GB,100.6,SKU-0297-RED-256GB,81,12
Headphones 298,Latest model with advanced features,1811.28,Accessories,SKU-0298,Green,32GB,69.31,SKU-0298-GRE-32GB,41,16
Monitor 299,Compact and lightweight design,961.72,Gadgets,SKU-0299,Silver,32GB,111.72,SKU-0299-SIL-32GB,88,11
Smartphone 300,Latest model with advanced features,1193.08,Electronics,SKU-0300,Gold,128GB,147.83,SKU-0300-GOL-128GB,51,19
Monitor 301,Enhanced performance and battery life,564.96,Accessories,SKU-0301,Gold,256GB,42.73,SKU-0301-GOL-256GB,77,17
Speaker 302,High quality and durable product,1315.2,Electronics,SKU-0302,Green,64GB,34.89,SKU-0302-GRE-64GB,44,6
Monitor 303,Best value for money,1424.04,Electronics,SKU-0303,Gold,256GB,58.15,SKU-0303-GOL-256GB,7,19
Smartwatch 304,High quality and durable product,731.66,Gadgets,SKU-0304,Silver,512GB,86.28,SKU-0304-SIL-512GB,15,12
Smartwatch 305,Enhanced performance and battery life,1991.72,Gadgets,SKU-0305,Green,16GB,125.36,SKU-0305-GRE-16GB,70,7
Camera 306,Compact and lightweight design,1013.15,Electronics,SKU-0306,Silver,128GB,33.45,SKU-0306-SIL-128GB,88,8
Camera 307,Best value for money,274.06,Gadgets,SKU-0307,Red,16GB,45.98,SKU-0307-RED-16GB,21,9
Monitor 308,Compact and lightweight design,1036.96,Gadgets,SKU-0308,Red,128GB,198.51,SKU-0308-RED-128GB,100,15
Smartwatch 309,High quality and durable product,901.53,Accessories,SKU-0309,Black,256GB,74.86,SKU-0309-BLA-256GB,75,8
Monitor 310,Compact and lightweight design,1957.85,Electronics,SKU-0310,Silver,16GB,157.39,SKU-0310-SIL-16GB,34,11
Smartphone 311,Compact and lightweight design,611.48,Electronics,SKU-0311,Gold,16GB,149.76,SKU-0311-GOL-16GB,8,17
Monitor 312,Compact and lightweight design,192.94,Accessories,SKU-0312,Gold,32GB,10.51,SKU-0312-GOL-32GB,40,20
Tablet 313,High quality and durable product,1833.51,Gadgets,SKU-0313,Blue,256GB,158.67,SKU-0313-BLU-256GB,62,19
Smartwatch 314,Latest model with advanced features,627.83,Electronics,SKU-0314,White,16GB,143.84,SKU-0314-WHI-16GB,67,10
Laptop 315,Best value for money,1858.7,Electronics,SKU-0315,Gold,128GB,38.83,SKU-0315-GOL-128GB,83,16
Tablet 316,Enhanced performance and battery life,1516.41,Accessories,SKU-0316,Gold,32GB,75.99,SKU-0316-GOL-32GB,73,7
Tablet 317,Best value for money,1802.03,Accessories,SKU-0317,Black,16GB,81.3,SKU-0317-BLA-16GB,39,18
Smartphone 318,Enhanced performance and battery life,956.19,Gadgets,SKU-0318,Green,32GB,151.42,SKU-0318-GRE-32GB,12,14
Tablet 319,Best value for money,1901.67,Accessories,SKU-0319,Red,32GB,34.88,SKU-0319-RED-32GB,75,19
Headphones 320,Latest model with advanced features,463.78,Electronics,SKU-0320,Silver,16GB,58.87,SKU-0320-SIL-16GB,5,7
Speaker 321,Latest model with advanced features,1696.03,Gadgets,SKU-0321,Blue,32GB,62.61,SKU-0321-BLU-32GB,59,10
Laptop 322,High quality and durable product,1391.13,Electronics,SKU-0322,Green,16GB,23.29,SKU-0322-GRE-16GB,21,19
Speaker 323,Best value for money,1375.04,Gadgets,SKU-0323,Black,128GB,114.75,SKU-0323-BLA-128GB,34,20
Speaker 324,Best value for money,182.5,Gadgets,SKU-0324,Silver,128GB,106.17,SKU-0324-SIL-128GB,67,7
Camera 325,Latest model with advanced features,635.94,Gadgets,SKU-0325,White,512GB,159.13,SKU-0325-WHI-512GB,55,8
Laptop 326,Compact and lightweight design,1162.29,Electronics,SKU-0326,Red,512GB,110.88,SKU-0326-RED-512GB,83,16
Camera 327,Best value for money,1661.9,Accessories,SKU-0327,Blue,64GB,158.05,SKU-0327-BLU-64GB,37,11
Monitor 328,Best value for money,447.25,Accessories,SKU-0328,Silver,128GB,130.22,SKU-0328-SIL-128GB,37,20
Laptop 329,Enhanced performance and battery life,1966.86,Gadgets,SKU-0329,Silver,512GB,1.16,SKU-0329-SIL-512GB,37,11
Smartwatch 330,Enhanced performance and battery life,587.84,Electronics,SKU-0330,Gold,128GB,65.67,SKU-0330-GOL-128GB,100,18
Monitor 331,High quality and durable product,1602.89,Accessories,SKU-0331,White,256GB,95.29,SKU-0331-WHI-256GB,41,20
Speaker 332,Best value for money,1415.74,Gadgets,SKU-0332,Blue,64GB,70.07,SKU-0332-BLU-64GB,68,13
Camera 333,Best value for money,81.07,Electronics,SKU-0333,Blue,512GB,58.58,SKU-0333-BLU-512GB,52,15
Smartphone 334,Compact and lightweight design,83.64,Accessories,SKU-0334,Red,16GB,186.91,SKU-0334-RED-16GB,10,7
Camera 335,Latest model with advanced features,112.31,Electronics,SKU-0335,White,32GB,34.72,SKU-0335-WHI-32GB,61,14
Smartphone 336,Compact and lightweight design,958.12,Electronics,SKU-0336,Silver,256GB,13.45,SKU-0336-SIL-256GB,56,8
Smartphone 337,Compact and lightweight design,246.46,Accessories,SKU-0337,Red,64GB,24.7,SKU-0337-RED-64GB,54,17
Tablet 338,Enhanced performance and battery life,1655.15,Gadgets,SKU-0338,White,64GB,172.76,SKU-0338-WHI-64GB,83,12
Speaker 339,Best value for money,1883.06,Electronics,SKU-0339,Silver,16GB,113.94,SKU-0339-SIL-16GB,28,5
Camera 340,Best value for money,789.12,Electronics,SKU-0340,Gold,64GB,129.65,SKU-0340-GOL-64GB,10,20
Camera 341,Enhanced performance and battery life,1991.38,Gadgets,SKU-0341,Silver,16GB,88.95,SKU-0341-SIL-16GB,55,13
Camera 342,High quality and durable product,556.2,Gadgets,SKU-0342,Blue,64GB,127.59,SKU-0342-BLU-64GB,45,8
Camera 343,Latest model with advanced features,1525.59,Accessories,SKU-0343,Blue,256GB,37.63,SKU-0343-BLU-256GB,56,16
Camera 344,Latest model with advanced features,689.38,Accessories,SKU-0344,Blue,512GB,154.29,SKU-0344-BLU-512GB,59,6
Smartwatch 345,High quality and durable product,808.02,Gadgets,SKU-0345,White,32GB,30.87,SKU-0345-WHI-32GB,36,9
Speaker 346,Compact and lightweight design,1394.93,Gadgets,SKU-0346,Blue,512GB,166.39,SKU-0346-BLU-512GB,74,7
Camera 347,Enhanced performance and battery life,1135.99,Accessories,SKU-0347,Black,16GB,174.38,SKU-0347-BLA-16GB,80,20
Camera 348,Best value for money,338.23,Electronics,SKU-0348,White,256GB,69.5,SKU-0348-WHI-256GB,72,6
Smartphone 349,Best value for money,512.3,Electronics,SKU-0349,White,32GB,25.3,SKU-0349-WHI-32GB,36,20
Smartphone 350,Enhanced performance and battery life,895.91,Electronics,SKU-0350,Black,256GB,99.99,SKU-0350-BLA-256GB,58,6
Laptop 351,High quality and durable product,1461.23,Gadgets,SKU-0351,Gold,32GB,130.12,SKU-0351-GOL-32GB,48,5
Speaker 352,Enhanced performance and battery life,1289.89,Electronics,SKU-0352,Blue,16GB,49.75,SKU-0352-BLU-16GB,56,5
Headphones 353,Enhanced performance and battery life,301.3,Accessories,SKU-0353,Gold,128GB,113.45,SKU-0353-GOL-128GB,43,14
Smartwatch 354,High quality and durable product,90.39,Gadgets,SKU-0354,Red,32GB,118.12,SKU-0354-RED-32GB,45,5
Camera 355,Best value for money,1175.98,Gadgets,SKU-0355,Silver,16GB,108.57,SKU-0355-SIL-16GB,68,6
Laptop 356,Compact and lightweight design,780.63,Electronics,SKU-0356,Gold,32GB,70.73,SKU-0356-GOL-32GB,19,10
Camera 357,Latest model with advanced features,247.91,Accessories,SKU-0357,Gold,128GB,20.49,SKU-0357-GOL-128GB,41,16
Tablet 358,Enhanced performance and battery life,664.28,Accessories,SKU-0358,Green,64GB,161.32,SKU-0358-GRE-64GB,39,6
Camera 359,Best value for money,1414.02,Accessories,SKU-0359,Silver,32GB,87.26,SKU-0359-SIL-32GB,22,19
Monitor 360,Compact and lightweight design,96.97,Accessories,SKU-0360,Green,512GB,72.32,SKU-0360-GRE-512GB,74,12
Headphones 361,Best value for money,1918.92,Accessories,SKU-0361,Gold,64GB,59.07,SKU-0361-GOL-64GB,50,14
Tablet 362,Best value for money,1012.38,Gadgets,SKU-0362,Green,128GB,153.58,SKU-0362-GRE-128GB,66,12
Laptop 363,High quality and durable product,1500.37,Accessories,SKU-0363,Red,16GB,170.43,SKU-0363-RED-16GB,73,10
Camera 364,Latest model with advanced features,1025.46,Electronics,SKU-0364,Red,32GB,36.81,SKU-0364-RED-32GB,81,7
Camera 365,Compact and lightweight design,1306.53,Accessories,SKU-0365,Red,16GB,18.61,SKU-0365-RED-16GB,100,20
Tablet 366,Enhanced performance and battery life,1186.54,Gadgets,SKU-0366,Blue,512GB,121.91,SKU-0366-BLU-512GB,18,11
Speaker 367,Enhanced performance and battery life,691.69,Electronics,SKU-0367,Silver,128GB,189.64,SKU-0367-SIL-128GB,40,15
Tablet 368,Compact and lightweight design,1312.54,Electronics,SKU-0368,Green,64GB,98.24,SKU-0368-GRE-64GB,34,5
Monitor 369,Latest model with advanced features,87.5,Electronics,SKU-0369,Green,32GB,172.66,SKU-0369-GRE-32GB,26,17
Speaker 370,Enhanced performance and battery life,953.94,Gadgets,SKU-0370,Gold,64GB,21.93,SKU-0370-GOL-64GB,40,16
Speaker 371,Compact and lightweight design,1371.69,Accessories,SKU-0371,White,64GB,64.95,SKU-0371-WHI-64GB,14,10
Speaker 372,Best value for money,1686.21,Gadgets,SKU-0372,Blue,32GB,54.05,SKU-0372-BLU-32GB,65,13
Laptop 373,Latest model with advanced features,1458.66,Gadgets,SKU-0373,Red,16GB,158.59,SKU-0373-RED-16GB,65,15
Headphones 374,Best value for money,1514.15,Accessories,SKU-0374,Red,512GB,67.71,SKU-0374-RED-512GB,45,18
Tablet 375,High quality and durable product,1813.34,Gadgets,SKU-0375,Silver,64GB,127.62,SKU-0375-SIL-64GB,98,17
Monitor 376,Best value for money,999.11,Accessories,SKU-0376,Black,128GB,114.0,SKU-0376-BLA-128GB,37,18
Headphones 377,High quality and durable product,1516.55,Gadgets,SKU-0377,White,64GB,11.62,SKU-0377-WHI-64GB,73,13
Laptop 378,Best value for money,982.1,Gadgets,SKU-0378,Blue,256GB,93.0,SKU-0378-BLU-256GB,65,20
Tablet 379,High quality and durable product,696.78,Electronics,SKU-0379,Silver,16GB,3.56,SKU-0379-SIL-16GB,83,10
Camera 380,Enhanced performance and battery life,1609.69,Electronics,SKU-0380,Black,16GB,58.04,SKU-0380-BLA-16GB,7,20
Camera 381,High quality and durable product,975.77,Accessories,SKU-0381,Silver,128GB,59.38,SKU-0381-SIL-128GB,9,12
Headphones 382,High quality and durable product,1702.8,Electronics,SKU-0382,Green,512GB,107.42,SKU-0382-GRE-512GB,48,12
Camera 383,Latest model with advanced features,1154.22,Gadgets,SKU-0383,Blue,16GB,7.59,SKU-0383-BLU-16GB,26,12
Smartphone 384,Latest model with advanced features,222.03,Electronics,SKU-0384,Red,512GB,165.4,SKU-0384-RED-512GB,65,16
Monitor 385,Compact and lightweight design,983.31,Electronics,SKU-0385,Blue,32GB,97.43,SKU-0385-BLU-32GB,66,19
Smartphone 386,Enhanced performance and battery life,1388.79,Gadgets,SKU-0386,White,128GB,79.4,SKU-0386-WHI-128GB,15,9
Smartwatch 387,High quality and durable product,1413.06,Electronics,SKU-0387,Green,256GB,142.25,SKU-0387-GRE-256GB,24,15
Laptop 388,Enhanced performance and battery life,647.01,Gadgets,SKU-0388,Silver,512GB,100.45,SKU-0388-SIL-512GB,67,5
Monitor 389,High quality and durable product,1010.63,Gadgets,SKU-0389,Green,64GB,170.95,SKU-0389-GRE-64GB,85,11
Headphones 390,Latest model with advanced features,963.88,Gadgets,SKU-0390,Black,512GB,118.57,SKU-0390-BLA-512GB,60,7
Laptop 391,Latest model with advanced features,833.98,Accessories,SKU-0391,White,64GB,80.21,SKU-0391-WHI-64GB,54,10
Headphones 392,Compact and lightweight design,928.11,Accessories,SKU-0392,Silver,128GB,48.23,SKU-0392-SIL-128GB,91,11
Headphones 393,Best value for money,1592.95,Electronics,SKU-0393,Red,256GB,97.41,SKU-0393-RED-256GB,28,19
Smartphone 394,Latest model with advanced features,1903.0,Gadgets,SKU-0394,Black,128GB,63.91,SKU-0394-BLA-128GB,43,9
Monitor 395,High quality and durable product,465.53,Accessories,SKU-0395,Blue,128GB,130.49,SKU-0395-BLU-128GB,57,6
Tablet 396,High quality and durable product,1779.83,Accessories,SKU-0396,Green,16GB,65.73,SKU-0396-GRE-16GB,93,20
Laptop 397,Compact and lightweight design,127.25,Gadgets,SKU-0397,White,512GB,0.24,SKU-0397-WHI-512GB,100,7
Tablet 398,Compact and lightweight design,404.05,Electronics,SKU-0398,Silver,128GB,152.75,SKU-0398-SIL-128GB,71,11
Smartwatch 399,High quality and durable product,847.52,Electronics,SKU-0399,Black,64GB,78.65,SKU-0399-BLA-64GB,32,8
Headphones 400,Enhanced performance and battery life,1459.73,Gadgets,SKU-0400,Red,64GB,32.35,SKU-0400-RED-64GB,95,12
Tablet 401,Compact and lightweight design,1481.86,Accessories,SKU-0401,White,256GB,91.11,SKU-0401-WHI-256GB,38,10
Camera 402,Best value for money,1335.28,Electronics,SKU-0402,White,64GB,148.42,SKU-0402-WHI-64GB,47,16
Tablet 403,Compact and lightweight design,1923.49,Gadgets,SKU-0403,Blue,64GB,51.24,SKU-0403-BLU-64GB,57,10
Camera 404,Best value for money,459.12,Gadgets,SKU-0404,Gold,64GB,6.49,SKU-0404-GOL-64GB,81,8
Smartwatch 405,Enhanced performance and battery life,384.85,Accessories,SKU-0405,Black,16GB,59.63,SKU-0405-BLA-16GB,70,11
Tablet 406,High quality and durable product,1909.89,Gadgets,SKU-0406,Red,32GB,156.95,SKU-0406-RED-32GB,48,5
Headphones 407,Best value for money,469.08,Gadgets,SKU-0407,Blue,64GB,70.87,SKU-0407-BLU-64GB,89,5
Smartwatch 408,Compact and lightweight design,298.98,Accessories,SKU-0408,White,256GB,105.75,SKU-0408-WHI-256GB,91,16
Speaker 409,Compact and lightweight design,1724.23,Electronics,SKU-0409,Silver,512GB,62.19,SKU-0409-SIL-512GB,71,17
Speaker 410,Compact and lightweight design,880.55,Gadgets,SKU-0410,White,128GB,10.66,SKU-0410-WHI-128GB,86,17
Camera 411,Latest model with advanced features,1071.96,Electronics,SKU-0411,Green,256GB,162.52,SKU-0411-GRE-256GB,31,16
Tablet 412,Best value for money,447.61,Electronics,SKU-0412,Red,64GB,160.4,SKU-0412-RED-64GB,71,14
Smartphone 413,High quality and durable product,1255.77,Electronics,SKU-0413,Gold,512GB,142.94,SKU-0413-GOL-512GB,6,7
Smartphone 414,High quality and durable product,1453.93,Accessories,SKU-0414,Black,16GB,196.94,SKU-0414-BLA-16GB,22,9
Monitor 415,Latest model with advanced features,201.55,Gadgets,SKU-0415,Green,512GB,162.24,SKU-0415-GRE-512GB,39,20
Camera 416,High quality and durable product,1317.0,Accessories,SKU-0416,Blue,16GB,124.35,SKU-0416-BLU-16GB,5,9
Smartwatch 417,Enhanced performance and battery life,1106.9,Gadgets,SKU-0417,Green,64GB,97.83,SKU-0417-GRE-64GB,28,12
Headphones 418,Best value for money,1489.78,Electronics,SKU-0418,Gold,128GB,186.24,SKU-0418-GOL-128GB,9,11
Speaker 419,Enhanced performance and battery life,1100.62,Gadgets,SKU-0419,Blue,128GB,66.32,SKU-0419-BLU-128GB,87,16
Speaker 420,Compact and lightweight design,1872.17,Gadgets,SKU-0420,White,32GB,90.6,SKU-0420-WHI-32GB,86,17
Tablet 421,Best value for money,175.33,Accessories,SKU-0421,Black,128GB,146.06,SKU-0421-BLA-128GB,41,7
Laptop 422,Enhanced performance and battery life,510.92,Electronics,SKU-0422,Silver,16GB,70.56,SKU-0422-SIL-16GB,42,9
Laptop 423,Best value for money,525.69,Accessories,SKU-0423,Black,16GB,180.33,SKU-0423-BLA-16GB,80,5
Monitor 424,Best value for money,912.85,Gadgets,SKU-0424,Black,128GB,97.99,SKU-0424-BLA-128GB,51,16
Camera 425,High quality and durable product,1933.34,Gadgets,SKU-0425,Red,256GB,38.03,SKU-0425-RED-256GB,73,9
Smartphone 426,Best value for money,1514.85,Electronics,SKU-0426,Gold,64GB,199.06,SKU-0426-GOL-64GB,33,13
Monitor 427,Best value for money,583.81,Gadgets,SKU-0427,Silver,32GB,8.16,SKU-0427-SIL-32GB,55,7
Headphones 428,Best value for money,1299.85,Electronics,SKU-0428,White,16GB,54.53,SKU-0428-WHI-16GB,71,11
Smartwatch 429,Enhanced performance and battery life,1558.86,Gadgets,SKU-0429,Red,16GB,81.82,SKU-0429-RED-16GB,5,5
Camera 430,Compact and lightweight design,854.99,Electronics,SKU-0430,Blue,256GB,71.02,SKU-0430-BLU-256GB,57,15
Headphones 431,Best value for money,1052.8,Electronics,SKU-0431,White,128GB,55.43,SKU-0431-WHI-128GB,99,18
Camera 432,Best value for money,1815.24,Gadgets,SKU-0432,White,128GB,116.81,SKU-0432-WHI-128GB,7,14
Smartwatch 433,Best value for money,353.71,Electronics,SKU-0433,White,256GB,23.24,SKU-0433-WHI-256GB,81,14
Camera 434,High quality and durable product,1969.58,Accessories,SKU-0434,Silver,256GB,78.44,SKU-0434-SIL-256GB,90,16
Speaker 435,Enhanced performance and battery life,1318.45,Accessories,SKU-0435,White,64GB,136.42,SKU-0435-WHI-64GB,12,19
Camera 436,Enhanced performance and battery life,741.93,Gadgets,SKU-0436,Blue,16GB,147.33,SKU-0436-BLU-16GB,15,7
Headphones 437,Latest model with advanced features,1509.9,Electronics,SKU-0437,Blue,512GB,124.85,SKU-0437-BLU-512GB,73,12
Monitor 438,Latest model with advanced features,392.2,Accessories,SKU-0438,Gold,32GB,5.26,SKU-0438-GOL-32GB,29,15
